Filename,Genus,Species,Data Type,Name of Training Set ,Number of Specimens ,Man External Volume,Man Internal Volume,Man Total Volume,Man Percentage Calcite,TS External Volume,TS Internal Volume,TS Total Volume,TS Percentage Calcite
st049_bl1_fo2.tif,Menardella,limbata,Original,T0_AI_1_Images,1,14921492.16,10251676.45,25173168.61,59.28,9987800.285,19676388.02,29664188.31,33.6695553
st049_bl1_fo3.tif,Menardella,limbata,Original,T0_AI_1_Images,1,40325477.69,27503685.24,67829162.93,59.45,22268704.76,50415113.28,72683818.04,30.63777517
st049_bl1_fo4.tif,Menardella,limbata,Original,T0_AI_1_Images,1,22610731.83,37386769.82,59997501.65,37.69,22678627.47,58781325.69,81459953.16,27.84021668
st049_bl2_fo1.tif,Menardella,limbata,Original,T0_AI_1_Images,1,57485542.31,45014124.62,102499666.9,56.08,56175014.61,77460246.16,133635260.8,42.03607213
st050_bl1_fo1.tif,Menardella,exilis,Original,T0_AI_1_Images,1,4776399.227,7130804.589,11907203.82,40.11,4492541.655,7469111.476,11961653.13,37.557866
st050_bl1_fo2.tif,Menardella,exilis,Original,T0_AI_1_Images,1,7095694.243,7996016.826,15091711.07,47.02,6450944.086,12234182.5,18685126.59,34.52448692
st050_bl1_fo3.tif,Menardella,exilis,Original,T0_AI_1_Images,1,7737616.43,7665911.054,15403527.48,50.23,7122859.078,6927495.239,14050354.32,50.69522745
st050_bl1_fo4.tif,Menardella,exilis,Original,T0_AI_1_Images,1,7581186.135,12035305.46,19616491.59,38.65,6963715.02,13400144,20363859.02,34.19644092
st050_bl1_fo5.tif,Menardella,exilis,Original,T0_AI_1_Images,1,11719399.36,18126058.51,29845457.87,39.27,11649184.11,28473081.69,40122265.8,29.03421299
st051_bl1_fo1.tif,Menardella,pertenuis,Original,T0_AI_1_Images,1,24775221.64,33940924.98,58716146.62,42.19,24518073.31,35019841.84,59537915.16,41.18060441
st051_bl1_fo2.tif,Menardella,pertenuis,Original,T0_AI_1_Images,1,78111194.72,73214266.67,151325461.4,51.62,71842212.57,160227006.8,232069219.4,30.95723456
st051_bl1_fo3.tif,Menardella,pertenuis,Original,T0_AI_1_Images,1,18636154.12,38307878.53,56944032.65,32.73,19400535.09,36672161.35,56072696.43,34.59889807
st051_bl1_fo4.tif,Menardella,pertenuis,Original,T0_AI_1_Images,1,45039196.92,61835071.32,106874268.2,42.14,46846663.54,91334084.88,138180748.4,33.90245318
st051_bl1_fo5.tif,Menardella,pertenuis,Original,T0_AI_1_Images,1,35956298.52,65333293.47,101289592,35.5,40071607.05,59996194.61,100067801.7,40.04445624
st061_bl1_fo2.tif,Menardella,pertenuis,Original,T0_AI_1_Images,1,17416721.85,29431045.94,46847767.79,37.18,16683521.47,41808579.37,58492100.84,28.52269149
st061_bl1_fo3.tif,Menardella,pertenuis,Original,T0_AI_1_Images,1,10618883.63,19641769.3,30260652.93,35.09,10261895.82,25240422.8,35502318.62,28.90486093
